mel_code,name
137,tannin
101,pepsin A
127,liquid soap
38,tannin
118,liquid soap
128,glycerol
119,liquid soap
122,boiled egg
83,"watercolor, red"
84,"watercolor, brown"
81,watercolor
133,unknown
104,milk
86,sodium polyacrylate
37,tannin
99,silver nitrate
112,silver nitrate
116,silver nitrate
121,aluminum foil
120,activated carbon
20,graphite
65,sugar cube
64,granulated sugar
25,sucrose
77,methylene blue
115,methylene blue
78,methylene blue
79,eosin
80,eosin
90,thymol blue
111,thymol blue
129,thymol blue
40,thymol blue
39,thymol blue
95,hard liquor
132,unknown
52,glycerol
51,glycerol
91,tartaric acid
12,hexamethylene-tetramine
41,citric acid
31,ascorbic acid
42,citric acid
53,citric acid
82,citric acid
43,citric acid
87,sodium benzoate
71,luminol 
74,luminol 
103,ninhydrin
106,ninhydrin
107,Calcium chloride
113,Calcium chloride
102,Calcium chloride
131,calcium nitrate
89,calcium nitrate
45,calcium hydroxide
44,calcium hydroxide
105,vinegar
18,sodium acetate
126,copper plate
100,copper  powder
98,copper  wire
93,copper (II) sulfate
1,copper (II) sulfate
135,copper (II) sulfate
6,copper (II) sulfate
57,iron bearings ball
4,steel wool
28,iron for disposal
9,iron
56,iron paper clip
55,iron nail
10,iron filings
7,iron (II) sulfate
33,iron (II) sulfate
23,distilled water
92,still water
138,mineral water
70,hydrogen peroxide
69,hydrogen peroxide
66,hydrochloric acid
32,hydrochloric acid
54,hydrochloric acid
110,iodine
15,iodine
36,iodine
72,potassium hexacyanoferrate (III)
73,potassium hexacyanoferrate (III)
35,potassium iodide
109,potassium iodide
46,potassium permanganate
16,potassium permanganate
94,magnesium
124,magnesium
19,manganese (IV) dioxide
47,sodium carbonate
48,sodium carbonate
17,disodium disulfite
34,disodium disulfite
49,sodium sulfate
130,sodium sulfate
3,sodium chloride
108,sodium chloride
50,sodium chloride
117,sodium chloride
114,sodium hydrogen carbonate
11,sodium hydrogen carbonate
27,sodium hydrogen sulfate
5,sodium hydrogen sulfate
60,sodium hydrogen sulfate
24,sodium hydrogen sulfate
85,sodium azide
58,sodium hydroxide
59,sodium hydroxide
68,ammonia solution
67,ammonia solution
88,ammonium carbonate
26,ammonium chloride
22,ammonium chloride
61,sulfur powder
8,tin (II) chloride
30,tin (II) chloride
125,zinc wire
29,zinc
21,zinc powder
97,zinc powder
134,zinc sulfate
136,zinc sulfate
123,zinc sulfate
96,zinc sulfate
76,lactose
75,lactose
502,expid2
503,expid3
504,expid4
505,expid5
506,expid6
507,expid7
508,expid8
509,expid9
510,expid10
512,expid12
513,expid13
514,expid14
515,expid15
516,expid16
517,expid17
518,expid18
519,expid19
520,expid20
521,expid22
522,expid23
523,expid24
525,expid25
526,expid26
527,expid27
528,expid28
529,expid29
531,expid31
532,expid32
533,expid33
534,expid34
535,expid35
536,expid36
537,expid37
538,expid38
539,expid39
540,expid40
541,expid41
542,expid42
544,expid44
545,expid45
546,expid46
547,expid47
548,expid48
549,expid49
550,expid50
551,expid51
552,expid52
553,expid53
554,expid54
555,expid55
556,expid56
557,expid57
558,expid58
559,expid59
560,expid60
561,expid61
562,expid62
563,expid63
564,expid64
565,expid65
566,expid66
567,expid67
568,expid68
570,expid70
571,expid71
572,expid72
573,expid73
574,expid74
575,expid75
576,expid76
577,expid77
578,expid78
579,expid79
580,expid80
581,expid81
582,expid82
583,expid83
584,expid84
585,expid85
586,expid86
587,expid87
588,expid88
589,expid89
590,expid90
591,expid91
592,expid92
593,expid93
594,expid94
595,expid95
596,expid96
597,expid97
